ko,en
지에스,GS
지에스,GS
줄스커피,Jul's Coffee
에이치 카페,H CAFE
콘시드서울,Concede Seoul
에브리띵,every thing
리벌티,Liberty
카페 아무개,Kaffee Amugae
오디디,odd
스캐터북스,SCATTER BOOKS
샐러드 점보,SALAD JUMBO
샤이로플,shyroiffle
슬로스,SLOTH
브라이트,bright bake house
오도브,ODOV
유아마이젤라또,You are my gelato
스몰배치서울,SMALLBATCH SEOUL
디저트카페제이,Dessert cafe J
서울 그로서리 클럽,Seoul Grocery Club
와이에이치디랩 하우스,YHDLAB HOUSE
지에스,GS
씨유,CU
라젠후르츠,RAGEN FRUIT
카페 세레니티,cafe Serenity
지에스,GS
아잇,Ah Eat
멘테파스타,MENTE PASTA
몰또 이탈리안 에스프레소바,Molto Italian espresso bar
지에스25,GS25
오후스커피,OHOOS COFFEE
멜티드,melted.
초이크리에이티브랩,fave
씨유,CU
봉봉,BonBon
셀프소,Self So
올리브,olive
커밍위드커피,coming with coffee
까페인모아,CAFE IN MOA
커피베이,COFFEEBAY
네임드,Named
로스톤,ROASTON
에이폰드,A-pond
아수스 피씨,ASUS PC
하뚜,HATTU
빨라쪼 화곡점,PALAZZO DEL FREDDO
스토리카페,Story Cafe
커스텀요거트,Custom Yogurt
씨유,CU
플리퍼스스탠드,Flipper's stand
그래인스쿠키,Grains Cookie
루히그,Ruhig
티랩제이,TeaLabJ
카페올레,CAFFE OLLE
트리플에이,TRIPLE A COFFEE
라니크,Ranique
지에스25,GS25
옥스피씨,OXPC
킹이,kingee
카페토브,CAFE TOV
이나 더 베어,inah the bear
카카오앤티,CACAO n TEA
오별_벨에시크,belle et chic
디어맘,Dear Mom
쿠스누어,kusnuer
부부스토어,BUBU STORE
지에스,GS
지지,gg
카페오브라도,OBRADOR
탭하트케이크,tapheart cake
지에스,GS
카페230도씨,Cafe 230℃
레츠그릭,Let's Greek
홀로,Holo
바하마스,Bahamas
플로우,flow
안나 아트 카페,Anna art cafe
시리언터키시키친,S.T.K
시리언터키시키친1,S.T.K
구움,9um
플레이버,FLAVOR
훈스커피,hoon's coffee
위크레페,we crepe
웨알유 커피,WRU Coffee)
밀플렉스,Mealflex
베이크디,BakeD
플랑도아,Flan Doa
커피엔스,coffiens
에이피 스탁 카페,AP stock cafe
더베이크,THE BAKE
커피베이,COFFEEBAY
우연의일치,coinciedence
바그,bagh
군인공제회관카페22,The 카페22
부우,BOOWOO
임스 크로와상 카페,ims croissant cafe
위티레몬,witty lemon
지에스25,GS
솔치비타,SolCivita
브리지 커피,Breezy coffee
지에스25,GS
유어보울,YOUR BOWL
엔쏘굿,and so good
베리에이션,variation
지에스,GS
바이란,by Ran
밀로우,Millow
하프앤,Half.ND
카페 마루,cafe MARU
슬로핸드,slowhand
다레젤라또,Dare gelato
포레스트-잇츠그린,Forest-It's green
저스트시즌,just season
지에스25 에스,S
코테슬로,Cottesloe
클럼지베이커리,Clumsy bakery
더,The
카페드노보,Cafe denovo
바빌,Babil
더데이즈 커피,The days
블랙캥거루,BlackKangaroo
헤세드까페,Cafe.Hessed
스택레이어커피,STACK LAYER coffee
씨유,CU
우드슬랩,WOOD SLAB
지에스,GS
카페인모아,cafe in moa
버글러,Bugler
비커피,BCOFFEE
아세티크,ASCETIQUE
컴포즈커피 영등포아델포레점,COMPOSE COFFEE
해피어,HAPPIER
타이드워터,tidewater
앵글드,Angled
카페 리버스,Cafe Reverse
목영동,M.Y.D
벤티프레소 여의도점,VENTI PRESSO
카페효,hyo
카페로비,Cafe Loby
쓰리에이치,3H
지에스,GS
원 오어 모어,one or more
파파인,PAPAIN
지에스,GS
모카,MOCHA
유캔커피,You can coffee
데이원,DAY1
코유코유,co.u co.u
지에스,GS
베리베르,Very vert
킹덤,Kingdom
레스토커피,Restto coffee
오카페,O'Cafe
아리,Ari
지에스25,GS25
파인데이즈,Fine Days
자매로그,log
롱앤쇼트,Long And Short
지에스,GS
웰스커피,wells coffee
빅핑거암사역점,Cafe Bigfinger
카페 우주,woozoo
이엘 크루,EL CREW
실크로드푸드,silk road food
카프,KAF
아마도,AMADO
지에스,GS
지에스25,GS25
랑꼬뉴,Linconnu
씨유,CU
델트,DELT
플레이플레이스,PLAY PLACE
엠제이키친,M.J Kitchen
리브유어라이프,Live Your Life
스테이웰 카페,S. well Cafe
카페드리브,CAFE DELIV
키노겐,Kino gehen
라곰바리스타,LagomBarista
코레우리,Coreuri
잇프레쉬,Eat Fresh
메르시,Merci
카페 아이보르,cafe iv'or
카페더메카,CAFE DE MECCA
아우어 다이브,OUR DIVE
샐러디,Salady
씨유,CU
누리카페,Nuri Cafe
지에스25,GS25
코다,CODA
지에스,GS
커피브레이크,coffeebreak
자이온 ,ZION
비주얼,B.jewel
리프레씨,RefreC
헤이스위디,Hey!Sweetie
지에스25,GS25
카페라이,Cafe Lie
디와이에스,DYS
지에스,GS
투비,To Be
모조,MOZO
화이트밸런스,White Balance
지에스,GS
지에스,GS
유경이디저트,602 Dessert
보스켓,BOSKETT
씨유,CU
커피앤띵스,Coffee'n Things
이뮤,immu
지에스,GS
프랭키,Frankie
씨유,CU
비 마이 게스트,be my guest
소올소올,SO-OL SO-OL
아틀리에 하모니,ATELIER HARMONY
에스엔에스피씨,SNSPC
지에스,GS
지에스,GS
루씨앤정,LUCY AND JUNG
올드프렌드,old friend
카페드블루,Cafe de Blue
지에스이십오,GS25
카페비밀,Cafe BeMeal
피씨마루,PC MARU
베러배러,Better Batter
지에스,GS
,
드림카페,Dream Cafe
지에스25,GS25
주노스카페,JUNOS CAFE
데스칸사르,Descansar
리멤버투데이,Remember Today
라벤더나인,Lavender9
카페알레,cafe alle
칠,CHILL
레스트 어 와일,Rest a while
너프,Neuf
카페 마시모,caffe massimo
씨유,cu
와이에이치디랩,YHDLAB
씨유,CU
원즈커피,ONESCOFFEE
아이갓에브리씽디디엠씨점,I got everything DDMC점
일일육커피,116 coffee
지에스,GS
디에스랩,DS_LAB
그린빈,Green Bean
타이프,TYPE
스위트레코드,SWEET RECORD
테아커피,TE:A COFFEE
오피커피,ooffee.c
카페 블레스,cafe bless
모크,mork
씨유,cu
지에스,GS
지에스,GS
테이크원,Take One
위드버터,with butter
빌로우,BELOW
지에스25,GS25
지에스,GS
어그리,Agree
파드,PFAD
지에스,GS
프리카페,Pre_
지에스25,GS25
크림 오브 클래식,CREAM OF CLASSIC
치킨 키친,CHICKEN KITCHEN
케이커리 슈,cakery chou
리스트레토2010,Ristretto2010
라제스,Razes
디오리진,The Origin
와이브루,Ybrew
지에스25,GS25
폴드,FOLD
미니밈 케이크,MINIMIM CAKE
무인카페 유유얼셀프,CAFE U URSELF
지에스25,GS25
밥줄,BAB JOULE
카페왓송,CAFE WHATSONG
오케이크,Oh! cake
블랙커피,Black Coffee
더리틀꼬르소,THE LITTLE CORSO
립스트커피,LIPST COFFEE
지에스24,GS25
쓰리팝,3POP PC CAFE
탐앤탐스 개봉동센트레빌점,TOMNTOMS
디저트,DESSERT
일공팔,108
셈22.1카페,SAM22.1cafe
지에스,GS
씨유,CU
엔카페,N'cafe
쓰임,sse-im
나인커피 로스터스 개화산점,NINE COFFEE ROASTERS
케이브,CAVE
드리머커피,DREAMER COFFEE
지에스25,GS25
씨유,CU
스트뉴,Soutenu
삡삡,beepbeep
타임투도넛,TIME TO DONUT
누시즈,nusiz
카페동네,CAFE DONGNAE
주)에크루,ECROU
로우즈,LOWEEZ
지에스,GS
마빈박,Marvin Park
몽키트위스트도넛,monkey twist donut
팜스테드,FARMSTEAD
지에스,GS
카페인,CAFE_INN
블루밍턴 베이글 하우스,Bloomington Bagel House
카페 인,CAFE IN
40데이즈,days
케이엔커피,KN COFFEE
클래식 로스터리,Classic Roastery
쌈지 안,samz an
씨피엘,CPL
오리노코,orinoco
고센,Goshen
물론,mullon
티샷커피,Tee shot coffee
카페로카,Cafe roca
카페64,CAFE64
호브,HOVE
에그헌트,EGG HUNT
카멜리아,Camellia
지에스25,GS25
카페시벳,cafe civet
카페 더 함,cafe the HAM
씨유,CU
샐러디,Salady
컴포즈커피,COMPOSE COFFEE
누 오븐,NU OVEN
카페 파구스,PAGUS
"오늘,한과",Today Hangwa
무드,mood
지에스,GS
바나나플래그,Banana Flag
제네랄 플랜트,GENERAL PLANT
댓츠이지,That’s easy
어피스앤드피스,A Piece&Peace
타이프,TYPE
봉쥬르쿠키,Bonjourcookie
지에스,GS
에이유에프,AUF
아트클로버,Art-Clover
그라운드 커피,GROUND COFFEE
푸쉬커피 을지,PUSHCOFFEE EULJI
지에스25,GS25
지에스,GS
콜바이,Call by
실버빈,Silver Bean
젯셋,Jetset
테이블비,Table.B
다르,Dar
티에프티커피로스터스,TFT coffee roasters
비투커피,B2 coffee
핸디드,Handed
차과과,CHAGUOGUO
노백커피,No Back
커스텀커피,KUSTOM COFFEE
자이툰,ZAITUN
쿤스트 40 ,Kunst 40
세겐커피,SEGEN COFFEE
청계천 노네임,NONAME
티더블유유씨,TWUC
어스커피,US Coffee
포레스트,for²est
핍스 디파트먼트,PHYPS DEPARTMENT
카페티티카카,cafe티티카카
제이커피,J COFFEE
카페 누아르,Cafe Noir
모이오,moio
엘씨엘로,ELCIELO
지에스,GS
디아이(,DIAY
티원 카페&아레나,T1 Cafe&Arena
그릭이야,Greekiya
그자체,The espresso
노아쿠키,Noah cookie
씨유 강동구민회관점,CU
와썹맘끼니,WASSUP MOM
숨베이커리,bakery
커밍,COMING cafe
럭키덕키,Lucky Ducky
잇푸쿠,"ippuku,一服"
머디데이지,Muddy Daisy
추카페,CHOO CAFE
웬즈커피 앤 피플,WENS COFFEE&PEOPLE
업셋,UPSET
히브루11,he brews11
베이스먼트,Basement
소피스티케이트,Sophisticate
눈,N00N
하피,HAFFEE
올웨더,all weather
지에스25,GS25
바늘카페,Cafe
커피힙,COFFEE HIP
지에스,GS
도론수제,DoRon-sooje
켁터스 커피,Cactus Coffee
카페 그랑,CAFE GRAN
디어그릭,DEAR GREEK
뵈르마지,beurre magie
피프틴커피,15 coffee
에이오지,AOG
지에스,GS
니블스,nibbles
브릭,BRICK
비움,VIUM
카페 루치아,cafe LUCIA
브리즈,Breeze
영오이칠,0527
로지네,Roisene
스위티에,Sweetier
카멜커피,camel coffee
지에스25,GS25
아꽁뜨,a cont
데이비드 베이글 앤 샐러드,David's bagels & salads
고디바,GODIVA
디저트스토머치,dessert stomach
지에스,GS
앤티크거피,Antique Coffee
지에스,GS25
쓰리닷츠,THREE DOTS
르트레라네,Le tre rane
파도커피,PADO COFFEE
플라워카페 20온스,20oz
메이드바이소아,Made by SOA
앤드유,ANDYOU
지에스,GS
코르키,corrci
티그레,Tigre
카페 르꽁뜨,CAFE LECONTE
여왕떡볶이,Queen's
롤러프레시,Roller Fresh
파고,FARGO
지에스25,GS25
프레쉬테이블,FRESH TABLE
스타벅스 더현대서울,B2
쎄띠엠므 여의도점,"Septie,me"
카페비,cafe.B
오플비,Aoflbe
에프비커피로스터스,FBCOFFEE ROASTERS
카페,cafe
커넥트91 ,CONNECT91
매머드익스프레스 여의도미원빌딩점,MAMMOTH COFFEE EXPRESS
지에스25,GS25
테라피,therapy
블렌디드,blended
지에스25,GS25
"오, 루네",O' lune
벤티프레소 타임스퀘어B점,VENTIPRESSO
바즈,Base
밀플렉스,Meal flex
허니블리스,honey bliss
미드위크,Midweek
씨유,CU
지에스,GS
스윗플로어,sweet floor
투고커피,Togo coffee
샐러디 학동역점,salady
지에스,GS
소조,SOZO
샐러두,saladoo
지에스,GS
카페 안단테,cafe andante
씨유,cu
데어리부띠끄,DAIRY BOUTIQUE
달,DALL
씨유,CU
카페 블랑,Cafe Blanc
프레지에,fraisier
씨드 샐러드,SEED SALAD
알버트파크,Albert Park
코지포지,cozy pozy
지에스더프레시,GS THE FRESH
이크 케이크,EEK CAKE
씨유,CU
키노양평,Kino.
조르막,Jormak
위드원스,Withwons
메이크 메리,make merry
비니,Beany
드웰타임,Dwelltime
커피런,Coffee Run
플로꽁,FLOCON
썬플라우어 베이크샵,Sunflour bakeshop
캔픽,Can Pick
지에스,GS
픽업커피 대림점,PICK-UP COFFEE
슈퍼말차,SUPER MATCHA
미켈레커피,MICHELE COFFEE
버틀러커피,BUTLER COFFEE
오설록,osulloc
테일러커피,TAILOR COFFEE
라운징북스,Lounging books
매머드익스프레스 당산이레빌딩점,mammoth express
멜롭스,melrops
아르켓,ARKET
지에스25,GS25
라젠커피,RAGEN COFFEE
오엑스피씨,OXPC
쏙만두&커피,coffee
파운더리,Poundary
요미스라이스x요거트,Yomie's Rice x Yogurt)(有米酸？
카페크라비,cafe KRABI
엠와이씨,myc
지에스,GS
인더스트,INDUST
샌드앤케이크,Sand and Cake
삼삼공데이,330day
온,on
에드에드,addadd
카페 와우,CAFE WOW
지에스,25
카페 에비뉴 376 ,Cafe Avenue 376
인타운 커피,Intown coffee
유노이아,Eunoia
파우더레시피,powder recipe
제이엠티엔드버거,JMT&Burger
노잉 로스팅 하우스,Roasting House
비컴로스터리,Become Roastery
커피라이커스 로스팅컴퍼니,COFFEE LIKUS
지에스,GS
미차,MICHA
카페 알엘씨,cafe RLC
프리타임,Freetime
지에서,GS
커피집,Coffee Zip
세븐일레븐,7-Eleven
커피스마일,Coffee Smile
요거프레소,Yoger Presso
카페,CAFE
카페칼디,cafe kaldi
아이엔지,ING
마더쥬스지에스,gs
지에스,GS
카페더문,Cafe the moon
더피씨,THE PC
슈슈,chouchou
아너,Honor
미스터브리즈,Mr.Breeze
씨유,cu
민트모리,MINTMORI
키즈커피,Kie's coffee
바이더웨이,BUY THE WAY
지에스,GS
블랙피씨,PC
김밥센터,KIMBOB CENTER
포라,Polla
지에스25,GS25
콩나무,congnamu
피씨수작,PC수작
와플아우어,Waffle Hour
마미스레시피,Mommy's recipe
러브컵,LOVECUP
래포커피,Rapport Coffee
번스,BUNCE
지에스,GS
알틴,Altin
예노,lleno
메이크커피,MAKE COFFEE
지에스,GS
이스포츠센터,e-sports center
이튼104,ETON104
레이디언트,RADIANT
스페이스엠,space M
카페쁠레노,cafe pleno
이마트24군자씨지브이,CGV
이나디토,inaudito
랭스터디카페,Lang.study cafe
라 보카,la boca
카페체인지,Cafe Changee
모지니,MOJINI
피콜로,Piccolo
마온,maon
지에스,GS
우즈오븐,woods oven
지에스,GS
노벨티,novelty
지에스,GS
이마트24월계예지점,emart 24
씨유,CU
씨유,CU
씨유,CU
카페드라이,Kafe drei
씨유,Cu
헤르츠 하우스,Hertz haus
지에스,GS
오엔지,ONG
카페에뜌드,cafe etude
밍스5˚c ,Ming's 5˚c
지에스,GS
카페더라몽떼,cafe de la Monte
라트,LATT
커피모네,Coffee Monet
지에스편의점중곡한마음점,G.S
704 에비뉴,Avenue
레이오버,Lay over
와이샐러드카페,Y salad cafe
언덕아래,Hilllow
까페로마,Cafe Roma
준,JUN
파파야 리프,Papaya Leaf
콤마,COMMA
세븐일레븐,S애오개역점
교카페,KYOcafe
서울테라리움-피어나,PEERNA
지에스25,3-3
지에스25,3-6
에프엑스 커피,FX COFFEE
카페 데일리 에디션,Cafe Daily Edition
씨유 청담엘점,CU
지에스,GS
주)멜로우시티3rd,Mellowcity
캐리피시카페,CARRY PC CAFE
수분,Sooboon
엔탑,N-TOP
24T BLVD,24티 비엘브이디
카페봄날,cafe봄날
카페 2.15,cafe 2.15
구,9
커피씨,COFFEE C
세븐일레븐,S마포역점
유나피씨방,YUNAPC
스타커피,STAR COFFEE
옐로우트리커피,YELLOW TREE COFFEE
베니,Veni
마이요,Myyo
더킹,THE KING
포텐,4TEN
씨아이오버,Ci_OVER
카페삼삼,cafe 33
씨유,CU
더 와요,The wayo
지에스,GS
픽,PICK
레미콘,REMICONE
카페어니스티,cafe honesty
주)진저보틀,GINGER BOTTLE
아이홉푸드트럭,I'HOP Food Truck
제니스 케이크,Jennys cake
티엔,tea n
갤러리로아,Gallery LOA
이씨엠코리아,ECM KOREA
카페237,carfe237
카페에이투,Cafe A Two
카페 쏭,Cafe. Song
아리스커피,ARIS COFFEE
온더비 ,ON THE B
카페선릉,CAFFE 선릉
커피 스테이션 ,COFFee station
커피블루그린,Coffee Blue Green
에스에이치,SH
아임파이,I'mPie
1프로피씨아레나이문점,1%PC아레나이문점
쓰리팝 피씨 카페,3POP PC CAFE
그레이스케일,grey scale
끌리앙,Client
쓰리팝피씨카페,3POP PC Cafe
꼬또 아 마노,cotto A mano
커피 쏠브즈 에브리띵,COFFEE SOLVES EVERYTHING
럭셔리라임피씨(PC)카페빈,bin
반지만들기 반지공방 8그램,GRAM
북카페 레벤,Bookcafe Leben
카페디저트,cafe dessert
벨뷰,bellevue
커피씨,Coffee C
어나더커피,Another Coffee
오프,OFF
넵타임커피,NAPTIME COFFEE
엠엠티에이치 014,MMTH 014
차중의차,Tea of teas
카페제이,cafe J
카페 다도,Cafe 다도
끌레르봉봉,clair bonbon
까페 봉주르마담,CAFE BONJOUR MADAME
피에니,Piani
피자메이트,Pizza mate
제이커피,J coffee
아센,ASSEN
더베이커,The Baker
에스프레소 진,Espresso Jin
커피앤버블,Coffee&Bubble
비비 브라운,B.B. BROWN
카페 낀디오,Cafe Quindio
매머드커피 한티역점,122호
쓰리팝,3POP
커피앤쥬스,COFFEE&JUICE
팃톳,TITTOT
카페97 ,CAFE97
제이와이웰빙,JYwellbeing
커피와이,COFFEE Y
이비에이,EBA
히스카페,His Cafe
훕스,HUFS
팔이 커피,82 COFFEE
오시오,OSIO
카페숲,cafesoop
라임,Lime
이즈니 생 메르,Isigny Ste. Mere
클라우즈비,CLOUDSB
35커피,35 coffee
더죠이,THE JOY
미노스,MINOS
딜라이트 카페,Delight cafe
카페홍,CAFE HONG
커피주네 ,JUNE
와이비엠 카페익스프레스,YBM Cafexpress
씨유,CU
씨유,CU
주)보나비 아티제 지에프씨,GFC
메드커피,MAD COFFEE
지에스25,GS25
더 빈스,The Beans
커피제이,J
레몬시티,LEMON CITY
볼트커피,Wollt
위트러스트커피,WE TRUST COFFEE
코앤커피,CO&COFFEE
커피91스토리,coffee91story
카페드온,cafe de ON
쥬쥬바,JUJUBAR
카페 블레싱,CAFE BLESSING
루크,LUKE
지에스25,GS25
컴포즈커피,compose coffee
블레스,Bless
히든브라운,hidden BROWN
파쪼카페,PAZZO Caffe
지에스,GS
비긴요크,begin yolk
퓨,PUR
씨유,CU
바이홍스튜디오,BY Hong studio
레아스톡샵,Leah's talk#
2카페,2Cafe
씨유,CU
더카페하임즈,The Cafe HEIMz
자자,Zaza
지에스,GS
사운즈굿,sounds good
에비뉴,AVENUE
카페데미,Cafe Demi
디카페,D-caffe
프로푸모,Profumo
말릭,Malic
커피,coffee
작은별카페,cafe
카페슬로우,cafe slow
서브웨이,Subway
씨유,CU
세븐일레븐,S장한평역점
닥가게,80로4845
씨유,CU
쁠로 13 ,BBLO 13
노리,NORI
아비앙또,Abiantot
아모르 데 헬렌,AMOR DE HELEN
매머드커피 강남대로점,114호점
베리베리,Very Berry
일로하,I-ROHA
굿카페,Good Cafe
커피브루,COFFEE BRU
카페 씨내,cafe  Signet
빠니니에꽁빠니,Panini et compagnie
미스터피자,Mr.Pizza
말리카,Mallika
강남 스테이,GANGNAM STAY
투썸플레이스,TWOSOME PLACE
씨유,CU
상가,Sangha
슈가더더블유,Sugar the W
바우,VOW
물커피,Mool Coffee
씨유,CU
해머커피로스터스,Hammer coffee roasters
파티시에,patissier
숨,Soom cafe
씨유,CU
지에스,GS
소울컵 ,SOULCUP
이모티아,emotia
룽고커피,Lungo coffee cafe in flower
스페이스,SPACE
길보드커피,87고6500
지에스,GS
온온커피,"ON,on coffee)(溫穩"
포스빌 미카사 카페이,Kafei
지에스,GS
지에스,GS
행사,super
세컨브레스,SECOND BREATH
씨유,CU
얌이밀,yammimeal
카페 그리다,CAFE GRIDA
코레일유통(주) 브레댄코,bread&co.
멜로우,mellow
모벰버,MOVEMBER
,
지앤지,GNG
아맘,amam.mullae
조이마카롱,JOY MACARON
지에스,GS
마시찌롱,MASIZZIRON
보그,BOTTLE GROUNDS
지에스25,GS25
카페마리,Cafe Mary
디유케이커피,DUK COFFEE
애드앤드,addand
디어윤 ,Dear.yoon
루시오,LUSIO
일커피 서울대입구역점,iL coffee
커브드 커피,Curved Coffee
지에스,GS
유오유,UOU
까페인 코나,CAFE IN CONA
슬롭커피,SLOb COFFEE
카페소고,2호점
씨유 미아봉실점,cu
밤비,Bambi
가름커피,GALM COFFEE
곰작,gomzak
카페문,CAFE Moon
어썸토스트,A!Some Toast
커피드니로,coffee deniro
하우트제곱,HAUTx2
델티,DELTY
헤브번,have bun
해피커피,HAPPY COFFEE
샐러드 서울,SALAD SEOUL
카페301,cafe301
지에스25,GS25
펀스터,Punster
카프요거트,Calf yogurt
까레포머,carre'former
인더센트,In The Scent
지에스,GS
온고이,ongoi
카페람람,Cafe Ramram
지에스25,GS25
단꽃케이크,SweetFlowerCake
롤피,LOLFFEE
주)루카스닷에스피 바룐,Varjon
이삭토스트 여의도KBS별관점,Issac
카페라이븐,Cafe Liven
서브마린,SUBMARINE
삼진얌,Samjin Yum
오하요,OHAYO
오해피홀리데이,OH HAPPY HOLIDAY
로투스,LOTUS
잇다,ITDAA
리앤커피,LIAN Coffee
벙커,BUNKER
카페드댕,CAFE DE DAENG
보보틱 가든,bobotic garden
지에스,GS
비와이카페,BY cafe
언스터피,unstuffy
지에스,GS
카페더사랑,Cafe the Love
지에스,GS
지에스,GS
씨유,cu
카페콩 ,cafe kong
댓츠카페,That's cafe
씨유,CU
믹스드,Mixed
세 주르,Ce Jour
케이밥플러스,K-BOB+
지에스,GS
지에스25,GS25
씨유,CU
맘스브런치,Mom`s Brunch
프로그빈,Frog Bean
나흐바,nachbar
카페 빌리지,Cafe Village
어라운드,Around
지에스,GS
어바웃 오디너리,About Ordinary
마리골드,marigold
티셔츠 프린트 퍼베이어,T-SHIRT PRINT PURVEYOR
하우스,Haus
해피커피,HAPPY COFFEE
그리니티,Greenity
카페 헤니알,cafe genial
일본인회화카페,cafe
이모티프 커피바,EMOTIF COFFEE BAR
브론토,BRONTO
더키월드 카페,Ducky World Cafe
파묵깔레,PAMUKKALE
지에스,GS
지에스,GS
낫배드,not bad
씨유,CU
네일 더 예쁘다,Coffee & Nail
씨유,CU
비온카페 ,Be On Cafe
지에스,GS
퀸즈카페,Queen's cafe
커피24시,24시커피
카페오호,cafe OHHO
빵숙이네,BBANGSUK
해피얼,Happier
지에스,GS
프롬 프루트,FROM FRUIT
지에스,GS
에이프릴 21,APRIL 21
클로리스 역삼점 ,GFC점
씨유,CU
티포트카페,TEA POT CAFE
더 브라이트 하우스 커피,the bright house coffee
핸드드립드로우,HAND Drip Draw
지에스,GS
카페 402,cafe 402
마라나타,maranatha
유어퍼블릭오아시스,Your Public Oasis
그루빈,Groobean
피에이씨그라운드,PAC GROUND
지엠피씨클럽,GM PC CLUB
히즈커피,HIS COFFEE
엣모스피어,atmosphere
닥터베이크,Dr.Bake
드링크박스,Drink Box
스타벅스커피,starbucks coffee
데코덴카페내맘케,decoden cafe 내맘케
카페쟈스,CAFE JASS
로로,RORO
비앙비앙,Bien Viens
아더,Arthur
빈포유,Bean for you
레드레드,Rad Red
몬스터 랩,Monster LAB
에이,A
쓰리팝,3POP
씨유 마포아이파크 에스케이,SK
일진빌딩카페,edelia
카페피포에스,cafe P4S
붐커피,BOOM COFFEE
라라,RARA
지인,JIIN
샐러드앤카페,salad&coffee
코코부코,COCOBUKO
다온파티,DaonParty
티크닉,teacnic
지에스,GS
커피팜,COFFEE FARM
25월드컵경기장점,3-7
지에스,GS
앤티앤스,Auntie Anne's
달달하늬 ,DALDAL HANEY
쓰리팝,3POP
브릭스,BRICKS
누아네,NOIR NE
카페코나퀸즈마포점,cafe konaqueens
하임스,HAIMS
카페크레마,cafe crema
쓰리팝,3POP
스탠스커피,STANCE COFFEE
라페,Lafee
올라카페,HOLA CAFE
17도씨,17°C
에그드랍,EGG DROP
지커피,GCOFFEE
티라운지테이크엔고,TEA LOUNGE TAKE N GO
브리즈,VRIZ PC  CAFE
에이난,A-Nan
카페E.M.S,CafeE.M.S
크레이지 패치,CRAZY PATCH
쓰리팝,3 POP
슬릿,SLIT
22펠로톤,22PELOTON
카페탱크식스,cafeTANK6
꼬르소산도,CorsoSando
올리브,ALLLIVE
모리,MORI
더치앤빈,DUTCH&BEAN
피디,PD
지에스,GS
오,5
딕시랜드,dixieland
지에스,GS
새임새임,same same
사이드테이블,Side Table
몽듀,Mon dieu
지에스,GS
지에스,GS
벌스,VER'S
널디스카페,NERDY'S CAFE
긱테이블,GeekTable
아보,Avoh
스트라다로스터스,STRADAROASTERS
카페 곤,Cafe Gon
매머드커피,MAMMOTH COFFEE
고피자,GOPIZZA
나인토트 피씨 카페,NINETOT PC Cafe
인투더크림,Intothecream
매머드익스프레스,MAMMOTH EXPRESS
아이센스리그피시,PC
프루스트,Proust
수카페24,soo cafe24
험블커피,Humble Coffee
더 피나클 체임버,The Pinnacle Chamber
더 피나클 체임버 1,The Pinnacle Chamber 1
지에스,GS
지에스25,GS25
지에스,GS
도씨네커피,DOSSINE COFFEE
카페7,cafe7
아프로바이크,AFRO BIKE
씨에이치,CH
케이와이푸드,KY FOOD
아지트901,AZIT901
지에스25,GS25
커피,COFFEE
스위트 웨이,sweet way
룸서비스301,Room Service301
엘리14,Alley14
카페야,CAFE-YA
스튜디오123,studio123
오엑스,OX
에스엔에스,SNS
리필커피,RE FEEL
지에스25,GS25
코너50,Corner50
투썸플레이스 보문역점,A TWOSOME PLACE 보문역점
지에스,GS
지에스,GS
비아찌오,viaggio
앤탑,N-TOP
카페코미다,CAFE COMIDA
말린,MARLIN
샌드비,Sand-bi
지에스,GS
볼트 커피바,BOLT COFFEE BAR
로맨틱웨이브,Romantic wave
지에스25,GS25
위크레페,we crepe
지에스,GS
씨유,CU
펄시,P3R:C
잇츠매직,it's magic
컬러 블라인드,color blind
에이치파이브-117,H5-117
부엔디아,buendia
지니커피,JINI COFFEE
지에스25,GS25
미타임,METIME
보타,BOTA
씨즈유어데이,Seize your day
돈츄워리,Don`t You Worry
"카페,딥",Deep
더베이크,THE  BAKE
044워리어스,044WARRIORS
지에스,GS
씨유,CU
띠옷,TEOT
블루,Blue
사미커피,SAMI COFFEE
요요일,yoyoil
매머드익스프레스 우림블루나인,38호
더포인,THE POIN
라누오보,La nuovo
지에스25,GS25
잇츠 후르츠,eats fruits
워크아웃 프로젝트,WORKOUT PROJECT
럼블도씨,Rumble doce
메드스컹크,mad skunk
공간21s,GONGKHAN21s
카페 테디,CAFE TEDDY
씨유,CU
썬스랩,Sun'sLab
저스트 인,JUST IN
히카,HICA
겟잇스위트,GET IT SWEET
기러기,kirogi
예고,YEGO
세리디저트,SERIE DESSERT
마나피자,MANA PIZZA
노티아,notia
카페프렌즈,CafeFRIENDS
지에스,GS
카페 비비드,CAFE VIVID
브리앙뜨 카페드림,brillante:cafe dream
아르켓,ARKET
25그램,25gram
구이삼,gooesam
지에스,GS
트릿,trit
하루,HARU
몽드현,monde-hyun
지에스,GS
카페튠 종로3가역점,CAFE TUNE
이포크,eiffok
돌스트,DORST
지에스,GS
레스트인무드,Rest in mood
탑,TOP
지에스25,GS25
까페 해도씨,cafe HAEDOSSI
지에스,GS
지에스25,GS25
지에스25,GS25
비반트커피,Vivant coffee
바이랩씨앤씨,by Lab CNC
쓰리엑스라지,3X-LARGE
더 캐빈,The Cabin
넘버원후레쉬커피 토프레소,NO.1 FRESH COFFEE Topresso
씨유,CU
지에스25숭실상현,GS25숭실상현
니토 커피 랩,NEATO COFFEE LAB.
라트,LATT
지에스25,GS25
잇츠매직,it's magic
코케비,kokebee
포테이토,PHOTATO
오버나잇 커피로스터스,OVRNGHT COFFEE ROASTERS
